Date,Time,t_s1,h_s1,t_s2,h_s2,wt_s1,wt_s2,wt_s3
10/12/2024,9:53:27,23,62,22.8,64,23,22.5,22.5
10/12/2024,9:58:27,23.1,63,22.9,66,23,22.5,22.5
10/12/2024,10:03:27,23.1,63,22.8,66,23,22.5,22.5
10/12/2024,10:08:27,23.1,63,22.9,64,23,22.5,22.5
10/12/2024,10:13:27,23.1,62,22.9,65,23,22.5,22.5
10/12/2024,10:23:27,23.1,62,22.9,65,23,22.5,22.5
10/12/2024,10:28:27,23.2,62,22.9,64,23,22.5,22.5
10/12/2024,10:33:27,23.1,62,22.9,64,23,22.5,22.5
10/12/2024,10:38:27,23,62,22.9,65,23,22.5,22.5
10/12/2024,10:43:27,23,62,22.8,64,23,22.5,22.5
10/12/2024,10:53:27,23,62,22.8,65,23,22.5,22.5
10/12/2024,10:58:27,23,62,22.8,64,23,22.5,22.5
10/12/2024,11:03:27,23.1,62,22.8,65,23,22.5,22.5
10/12/2024,11:08:27,23.1,62,22.9,65,23,22.5,22.5
10/12/2024,11:13:27,23,62,22.9,65,23,22.5,22.5
10/12/2024,11:23:27,23.1,62,22.9,65,23,22.5,22.5
10/12/2024,11:28:27,23.1,63,22.9,66,23,22.5,22.5
10/12/2024,11:33:27,23.1,63,22.9,65,23,22.5,22.5
10/12/2024,11:38:27,23.1,62,22.9,65,23,22.5,22.5
10/12/2024,11:43:27,23.1,62,22.9,65,23,22.5,22.5
10/12/2024,11:53:26,23.2,63,23,64,23,22.5,22.5
10/12/2024,11:58:26,23.3,62,23.2,65,23,22.5,22.5
10/12/2024,12:03:26,23.4,63,23.2,66,22.5,22.5,22.5
10/12/2024,12:08:26,23.4,63,23.2,65,22.5,22.5,22.5
10/12/2024,12:13:26,23.3,63,23.2,64,23,22.5,22.5
10/12/2024,12:23:26,23.5,62,23.4,64,23,22.5,22.5
10/12/2024,12:28:26,23.5,62,23.3,63,23,22.5,22.5
10/12/2024,12:33:26,23.5,62,23.3,64,23,22.5,22.5
10/12/2024,12:41:26,23.6,61,23.3,65,23,22.5,22.5
10/12/2024,12:46:26,23.6,62,23.3,63,23,22.5,22.5
10/12/2024,12:51:26,23.5,62,23.3,64,23,22.5,22.5
10/12/2024,12:56:26,23.5,63,23.4,63,23,22.5,22.5
10/12/2024,14:58:26,23.5,62,23.3,63,23,23,22.5
10/12/2024,15:03:26,23.4,61,23.3,63,23,23,22.5
10/12/2024,15:13:26,23.5,62,23.3,64,23,23,22.5
10/12/2024,15:18:26,23.5,62,23.3,63,23,23,22.5
10/12/2024,15:23:26,23.5,62,23.3,64,23,23,22.5
10/12/2024,15:28:26,23.5,63,23.2,64,23,23,22.5
10/12/2024,15:33:26,23.5,63,23.3,63,23,23,22.5
10/12/2024,15:43:26,23.5,62,23.3,63,23,23,22.5
10/12/2024,15:48:26,23.5,61,23.3,63,23,23,22.5
10/12/2024,15:53:26,23.5,62,23.3,63,23,23,22.5
10/12/2024,15:58:26,23.5,62,23.4,63,23,23,22.5
10/12/2024,16:03:26,23.5,61,23.3,63,23,23,22.5
10/12/2024,16:13:26,23.5,62,23.3,63,23,23,22.5
10/12/2024,16:18:26,23.6,62,23.3,63,23,23,22.5
10/12/2024,16:23:26,23.5,62,23.3,63,23,23,22.5
10/12/2024,16:28:26,23.5,62,23.3,63,23,23,22.5
10/12/2024,16:33:26,23.5,62,23.3,63,23,23,22.5
10/12/2024,16:43:26,23.5,61,23.3,63,23,23,22.5
10/12/2024,16:48:26,23.4,62,23.3,63,23,23,22.5
10/12/2024,16:53:26,23.4,62,23.3,64,23,23,22.5
10/12/2024,16:58:26,23.4,63,23.2,64,23,23,22.5
10/12/2024,17:03:26,23.4,62,23.2,63,23,23,22.5
10/12/2024,17:13:26,23.4,63,23.2,64,23,23,22.5
10/12/2024,17:18:26,23.5,62,23.3,64,23,23,22.5
10/12/2024,17:23:26,23.5,63,23.3,64,23,23,22.5
10/12/2024,17:28:26,23.4,62,23.3,64,23,23,22.5
10/12/2024,17:33:26,23.4,62,23.2,62,23,23,22.5
10/12/2024,17:43:26,23.3,62,23.2,64,23,23,22.5
10/12/2024,17:48:26,23.3,63,23.1,65,23,23,22.5
10/12/2024,17:53:26,23.3,63,23.2,65,23,23,22.5
10/12/2024,17:58:26,23.3,64,23.1,65,23,23,22.5
10/12/2024,18:08:26,23.3,64,23.1,65,23,23,22.5
10/12/2024,18:13:26,23.3,63,23.1,66,23,23,22.5
10/12/2024,18:18:26,23.2,63,23,65,23,23,22.5
10/12/2024,18:23:26,23.3,64,23.1,66,23,23,22.5
10/12/2024,18:28:26,23.3,64,23.1,65,23,23,22.5
10/12/2024,18:38:26,23.4,64,23.2,66,23,23,22.5
10/12/2024,18:43:26,23.4,65,23.2,66,23,23,22.5
10/12/2024,18:48:26,23.4,64,23.3,66,23,23,22.5
10/12/2024,18:53:26,23.5,64,23.3,66,23,23,22.5
10/12/2024,18:58:26,23.4,64,23.3,66,23,23,22.5
