Date,Time,t_s1,h_s1,t_s2,h_s2,wt_s1,wt_s2,wt_s3,fan_state,fan_state
10/13/2024,15:24:59,23.7,63,23.3,67,23,23,23,1,15
10/13/2024,15:30:59,23.8,63,23.3,67,23,23,22.5,1,15
10/13/2024,15:36:59,23.8,63,23.4,67,23,23,22.5,1,15
10/13/2024,15:42:59,23.8,63,23.4,68,23,23,22.5,1,15
10/13/2024,15:48:59,23.8,63,23.4,68,23,23,22.5,1,15
10/13/2024,15:54:59,23.9,64,23.4,68,23,23,22.5,1,15
10/13/2024,16:00:59,23.9,64,23.4,68,23,23,23,1,15
10/13/2024,16:06:59,23.9,64,23.4,68,23,23,22.5,1,15
10/13/2024,16:12:59,23.9,64,23.4,68,23,23,22.5,1,15
10/13/2024,16:18:59,23.9,64,23.4,68,23,23,22.5,1,15
10/13/2024,16:24:59,23.9,64,23.6,68,23,23,22.5,1,15
10/13/2024,16:30:59,23.9,64,23.5,68,23,23,23,1,15
10/13/2024,16:36:59,23.9,64,23.5,69,23,23,23,1,15
10/13/2024,16:42:59,23.9,64,23.4,68,23.5,23,22.5,1,15
10/13/2024,16:48:59,23.9,64,23.4,68,23.5,23,23,1,15
10/13/2024,16:54:59,23.8,64,23.3,68,23.5,23,22.5,1,15
10/13/2024,17:00:59,23.8,64,23.3,68,23,23,23,1,15
10/13/2024,17:06:59,23.8,64,23.3,69,23,23,22.5,1,15
10/13/2024,17:09:59,23.7,64,23.2,68,23,23,23,0,10
10/13/2024,17:19:59,23.6,64,23.2,68,23,23,22.5,0,10
10/13/2024,17:24:59,23.6,65,23.2,68,23,23,22.5,0,10
10/13/2024,17:29:59,23.6,65,23.2,67,23,23,22.5,0,10
10/13/2024,17:34:59,23.5,65,23.2,68,23,23,22.5,0,10
10/13/2024,17:39:59,23.5,65,23.2,68,23,23,22.5,0,10
10/13/2024,17:49:59,23.5,66,23.2,68,23,23,22.5,0,10
10/13/2024,17:54:59,23.5,66,23.2,68,23,23,22.5,0,10
10/13/2024,17:59:59,23.5,66,23.1,68,23,23,23,0,10
10/13/2024,18:04:59,23.4,66,23.2,68,23,23,22.5,0,10
10/13/2024,18:09:59,23.5,66,23.2,69,23,23,22.5,0,10
10/13/2024,18:19:59,23.5,66,23.2,68,23,23,22.5,0,10
10/13/2024,18:24:59,23.4,66,23.2,68,23,23,22.5,0,10
10/13/2024,18:30:10,23.5,66,23.2,68,23,23,22.5,0,10
10/13/2024,18:35:10,23.4,66,23.2,68,23,23,22.5,0,10
10/13/2024,18:41:31,23.5,66,23.2,67,23,23,22.5,0,10
10/13/2024,18:46:31,23.5,66,23.2,68,23,23,22.5,0,10
10/13/2024,18:51:31,23.5,65,23.3,68,23,23,23,0,10
10/13/2024,19:01:31,23.5,65,23.2,68,23,23,22.5,0,10
10/13/2024,19:06:31,23.5,65,23.3,69,23,23,22.5,0,10
10/13/2024,19:09:32,23.6,65,23.3,68,23,23,23,1,15
10/13/2024,19:19:31,23.5,65,23.2,68,23,23,22.5,0,10
10/13/2024,19:24:31,23.5,66,23.3,69,23,23,22.5,0,10
10/13/2024,19:29:31,23.5,66,23.3,69,23,23,22.5,0,10
10/13/2024,19:34:31,23.5,66,23.3,68,23,23,23,0,10
10/13/2024,19:39:31,23.4,66,23.2,69,23,23,22.5,0,10
10/13/2024,19:49:32,23.4,66,23.1,68,23,23,22.5,0,10
10/13/2024,19:54:32,23.4,66,23.2,69,23,23,22.5,0,10
10/13/2024,19:59:32,23.4,66,23.1,68,23,23,22.5,0,10
10/13/2024,20:04:32,23.4,66,23.2,68,23,23,22.5,0,10
10/13/2024,20:09:32,23.5,66,23.2,68,23,23,22.5,0,10
10/13/2024,20:19:32,23.5,66,23.2,69,23,23,22.5,0,10
10/13/2024,20:24:32,23.4,66,23.1,69,23,23,22.5,0,10
10/13/2024,20:29:32,23.3,65,23,69,23,23,22.5,0,10
10/13/2024,20:34:32,23.3,66,23.1,68,23,23,22.5,0,10
10/13/2024,20:39:32,23.3,65,23,67,23,23,22.5,0,10
10/13/2024,20:49:32,23.3,66,23.1,69,23,23,22.5,0,10
10/13/2024,20:54:32,23.4,66,23.2,69,23,23,22.5,0,10
10/13/2024,20:59:32,23.5,66,23.3,69,23,23,22.5,0,10
10/13/2024,21:04:32,23.5,66,23.4,70,23,23,22.5,0,10
10/13/2024,21:09:32,23.5,66,23.3,70,23,23,22.5,0,10
10/13/2024,21:19:32,23.5,66,23.3,70,23,23,22.5,0,10
10/13/2024,21:24:32,23.6,67,23.4,70,23,23,22.5,0,10
10/13/2024,21:27:32,23.5,68,23.2,71,23,23,23,0,10
10/13/2024,21:37:33,23.5,68,23.3,72,23,23,22.5,0,10
10/13/2024,21:42:33,23.6,68,23.3,71,23,23,22.5,0,10
10/13/2024,21:47:33,23.5,68,23.3,72,23,23,23,0,10
10/13/2024,21:52:33,23.5,68,23.3,72,23,23,23,0,10
10/13/2024,21:57:33,23.5,68,23.3,71,23,23,23,0,10
10/13/2024,22:07:33,23.5,68,23.2,72,23,23,23,0,10
10/13/2024,22:12:54,23.5,68,23.2,71,23,23,23,0,10
10/13/2024,22:17:54,23.4,67,23.1,71,23,23,23,0,10
10/13/2024,22:22:54,23.3,67,23.1,71,23,23,23,0,10
10/13/2024,22:27:54,23.3,67,23.1,72,23,23,23,0,10
10/13/2024,22:37:54,23.3,68,23.1,71,23,23,23,0,10
10/13/2024,22:42:54,23.3,68,23.1,71,23,23,22.5,0,10
10/13/2024,22:47:54,23.3,69,23.1,71,23,23,23,0,10
10/13/2024,22:52:54,23.3,68,23.1,70,23,23,22.5,0,10
10/13/2024,22:57:55,23.3,67,23.1,70,23,23,22.5,0,10
10/13/2024,23:07:55,23.3,67,23.1,70,23,23,23,0,10
10/13/2024,23:12:55,23.3,67,23,69,23,23,22.5,0,10
10/13/2024,23:17:55,23.3,66,22.9,70,23,23,22.5,0,10
10/13/2024,23:22:55,23.3,67,22.9,69,23,23,22.5,0,10
10/13/2024,23:27:55,23.3,67,23,69,23,23,22.5,0,10
10/13/2024,23:37:55,23.2,67,23,69,23,23,22.5,0,10
10/13/2024,23:42:55,23.2,67,23,69,23,23,22.5,0,10
10/13/2024,23:47:55,23.2,67,22.9,69,23,23,22.5,0,10
10/13/2024,23:52:55,23.2,67,22.9,69,23,23,22.5,0,10
10/13/2024,23:57:55,23.2,67,22.9,70,23,23,22.5,0,10
