Date,Time,t_s1,h_s1,t_s2,h_s2,wt_s1,wt_s2,wt_s3,fan_state
2024/10/20,9:40:57,24.0,72.0,23.8,74.0,24.5,24.0,22.5,1
2024/10/20,9:46:57,24.0,72.0,23.8,74.0,24.5,24.0,22.5,1
2024/10/20,9:52:57,23.9,72.0,23.8,74.0,24.5,24.0,22.5,1
2024/10/20,9:58:57,24.0,72.0,23.8,74.0,24.5,24.0,22.5,1
2024/10/20,10:4:57,24.0,72.0,23.8,74.0,24.5,24.0,22.5,1
2024/10/20,10:10:57,24.0,72.0,23.8,74.0,24.5,24.0,22.5,1
2024/10/20,10:16:57,24.0,71.0,23.8,73.0,24.5,24.0,22.5,1
2024/10/20,10:22:57,23.9,71.0,23.7,74.0,24.5,24.0,22.5,1
2024/10/20,10:28:57,23.9,72.0,23.6,74.0,24.5,24.0,22.5,1
2024/10/20,10:34:57,23.9,72.0,23.6,74.0,24.5,24.0,22.5,1
2024/10/20,10:40:57,23.8,71.0,23.7,74.0,24.5,24.0,22.5,1
2024/10/20,10:46:57,23.8,71.0,23.6,73.0,24.0,24.0,22.5,1
2024/10/20,10:52:57,23.8,71.0,23.6,74.0,24.5,24.0,22.5,1
2024/10/20,10:58:57,23.9,71.0,23.7,73.0,24.0,24.0,22.5,1
2024/10/20,11:4:57,23.9,71.0,23.6,73.0,24.5,24.0,22.5,1
2024/10/20,11:10:57,23.9,71.0,23.6,74.0,24.0,24.0,22.5,1
2024/10/20,11:16:57,23.9,71.0,23.7,74.0,24.5,24.0,22.5,1
2024/10/20,11:22:57,23.9,71.0,23.7,73.0,24.0,24.0,22.5,1
2024/10/20,11:28:57,24.0,71.0,23.8,73.0,24.0,24.0,22.5,1
2024/10/20,11:34:57,23.9,71.0,23.7,74.0,24.5,24.0,22.5,1
2024/10/20,11:40:57,23.9,72.0,23.6,75.0,24.0,24.0,22.5,1
2024/10/20,11:46:57,23.9,72.0,23.6,75.0,24.0,24.0,22.5,1
2024/10/20,11:52:57,23.9,72.0,23.7,75.0,24.0,24.0,22.5,1
2024/10/20,11:58:57,24.0,72.0,23.7,75.0,24.5,24.0,22.5,1
2024/10/20,12:4:57,24.0,72.0,23.7,75.0,24.5,24.0,22.5,1
2024/10/20,12:10:57,24.0,72.0,23.7,75.0,24.5,24.0,22.5,1
