Date,Time,t_s1,h_s1,t_s2,h_s2,wt_s1,wt_s2,wt_s3,ph_val,fan_state
2024/10/21,21:14:13,24.1,70.0,23.8,73.0,23.5,23.5,23.0,9.17,1
2024/10/21,21:20:13,24.1,71.0,23.9,73.0,23.5,23.5,23.0,9.17,1
2024/10/21,21:26:13,24.1,70.0,23.7,73.0,23.5,23.5,23.0,9.17,1
2024/10/21,21:32:13,24.1,71.0,23.8,73.0,23.5,23.5,23.0,9.19,1
2024/10/21,21:38:13,24.0,71.0,23.8,73.0,23.5,23.5,23.0,9.19,1
2024/10/21,21:44:13,24.0,70.0,23.8,73.0,23.5,23.5,23.0,9.2,1
2024/10/21,21:50:13,24.1,71.0,23.9,73.0,23.5,23.5,23.0,9.17,1
2024/10/21,21:56:13,24.0,71.0,23.7,73.0,23.5,23.5,23.0,9.17,1
2024/10/21,22:2:13,24.2,71.0,23.9,74.0,23.5,23.5,23.0,9.17,1
2024/10/21,22:8:13,24.2,71.0,23.9,74.0,23.5,23.5,23.0,9.17,1
2024/10/21,22:14:13,24.1,71.0,23.9,74.0,23.5,23.5,23.5,9.17,1
2024/10/21,22:20:13,23.9,71.0,23.9,73.0,23.5,23.5,23.5,9.17,1
2024/10/21,22:26:13,24.2,71.0,23.9,73.0,23.5,23.5,23.5,9.17,1
2024/10/21,22:32:13,24.1,70.0,23.8,74.0,23.5,23.5,23.0,9.16,1
2024/10/21,22:38:13,24.1,71.0,23.8,74.0,23.5,23.5,23.5,9.18,1
2024/10/21,22:44:13,24.1,71.0,23.9,74.0,23.5,23.5,23.5,9.19,1
2024/10/21,22:50:13,24.0,71.0,23.9,74.0,23.5,23.5,23.5,9.19,1
2024/10/21,22:56:13,24.1,70.0,23.8,74.0,23.5,23.5,23.5,9.16,1
2024/10/21,23:2:13,23.8,71.0,23.8,74.0,23.5,23.5,23.0,9.16,1
2024/10/21,23:8:13,24.0,72.0,23.8,74.0,23.5,23.5,23.0,9.16,1
2024/10/21,23:14:13,24.1,71.0,23.9,75.0,23.5,23.5,23.5,9.15,1
2024/10/21,23:20:13,24.0,71.0,23.9,74.0,23.5,23.5,23.5,9.05,1
2024/10/21,23:26:13,24.0,72.0,23.9,76.0,23.5,23.5,23.5,9.03,1
2024/10/21,23:32:13,24.0,72.0,23.7,76.0,23.5,23.5,23.5,9.02,1
2024/10/21,23:38:13,23.9,71.0,23.8,75.0,23.5,23.5,23.5,9.02,1
2024/10/21,23:44:13,23.9,72.0,23.7,75.0,23.5,23.5,23.5,9.04,1
2024/10/21,23:50:13,23.9,72.0,23.7,76.0,23.5,23.5,23.5,9.03,1
2024/10/21,23:56:13,23.9,71.0,23.7,76.0,23.5,23.5,23.5,9.01,1
2024/10/22,0:2:13,24.0,71.0,23.7,75.0,23.5,23.5,23.0,9.02,1
2024/10/22,0:8:13,23.8,72.0,23.7,75.0,23.5,23.5,23.5,9.01,1
2024/10/22,0:14:13,23.8,71.0,23.6,75.0,23.5,23.5,23.5,9.02,1
2024/10/22,0:20:13,24.0,71.0,23.6,75.0,23.5,23.5,23.5,9.02,1
2024/10/22,0:26:13,23.7,71.0,23.5,75.0,23.5,23.5,23.5,9.03,1
2024/10/22,0:32:13,23.8,71.0,23.5,74.0,23.5,23.5,23.0,9.04,1
2024/10/22,0:38:13,23.9,71.0,23.5,74.0,23.5,23.5,23.0,9.04,1
2024/10/22,0:44:13,23.9,72.0,23.6,75.0,23.5,23.5,23.0,9.04,1
2024/10/22,0:50:14,23.9,72.0,23.6,74.0,23.5,23.5,23.0,9.05,1
2024/10/22,0:56:14,23.9,71.0,23.6,75.0,23.5,23.5,23.0,9.06,1
2024/10/22,1:2:14,24.0,71.0,23.7,73.0,23.5,23.5,23.0,9.05,1
2024/10/22,1:8:14,24.0,72.0,23.7,74.0,23.5,23.5,23.0,9.03,1
2024/10/22,1:14:14,23.9,72.0,23.7,74.0,23.5,23.5,23.5,9.03,1
2024/10/22,1:20:14,24.0,72.0,23.8,74.0,23.5,23.5,23.0,9.02,1
2024/10/22,1:26:14,23.8,72.0,23.5,74.0,23.5,23.5,23.0,9.02,1
2024/10/22,1:32:14,23.8,71.0,23.6,74.0,23.5,23.5,23.5,9.02,1
2024/10/22,1:38:14,23.9,71.0,23.6,74.0,23.5,23.5,23.0,9.02,1
2024/10/22,1:44:14,23.9,72.0,23.6,74.0,23.5,23.5,23.0,9.03,1
2024/10/22,1:50:14,23.8,72.0,23.6,74.0,23.5,23.5,23.0,9.03,1
2024/10/22,1:56:14,23.7,72.0,23.6,74.0,23.5,23.5,23.0,9.04,1
2024/10/22,2:2:14,23.8,72.0,23.5,74.0,23.5,23.5,23.5,9.04,1
2024/10/22,2:8:14,23.7,72.0,23.5,74.0,23.5,23.5,23.0,9.06,1
2024/10/22,2:14:14,23.7,72.0,23.4,75.0,23.5,23.5,23.0,9.07,1
2024/10/22,2:20:14,23.7,71.0,23.4,75.0,23.5,23.5,23.0,9.08,1
2024/10/22,2:26:14,23.6,72.0,23.3,76.0,23.5,23.5,23.0,9.05,0
2024/10/22,2:31:42,23.6,72.0,23.4,75.0,23.5,23.5,23.0,9.05,1
2024/10/22,2:36:41,23.8,72.0,23.3,75.0,23.5,23.5,23.0,9.08,0
2024/10/22,2:44:41,23.7,72.0,23.3,74.0,23.5,23.0,23.0,9.06,0
2024/10/22,2:49:41,23.6,72.0,23.2,75.0,23.5,23.0,23.0,9.06,0
2024/10/22,2:54:41,23.6,72.0,23.4,75.0,23.5,23.5,23.0,9.07,0
2024/10/22,2:59:41,23.6,72.0,23.3,76.0,23.5,23.5,23.0,9.07,0
2024/10/22,3:4:41,23.5,71.0,23.3,76.0,23.5,23.5,23.0,9.07,0
2024/10/22,3:14:41,23.6,72.0,23.3,75.0,23.5,23.5,23.0,9.08,0
2024/10/22,3:19:41,23.6,72.0,23.3,76.0,23.5,23.0,23.0,9.08,0
2024/10/22,3:22:42,23.5,72.0,23.1,76.0,23.5,23.5,23.0,9.09,0
2024/10/22,3:32:42,23.5,73.0,23.3,76.0,23.5,23.0,23.0,9.08,0
2024/10/22,3:37:42,23.5,72.0,23.2,76.0,23.5,23.0,23.0,9.08,0
2024/10/22,3:42:42,23.4,72.0,23.1,75.0,23.5,23.0,23.0,9.09,0
2024/10/22,3:47:42,23.5,72.0,23.2,76.0,23.5,23.0,23.0,9.09,0
2024/10/22,3:52:42,23.4,71.0,23.2,75.0,23.5,23.0,23.0,9.09,0
2024/10/22,4:2:42,23.5,72.0,23.1,75.0,23.0,23.0,23.0,9.1,0
2024/10/22,4:7:42,23.4,72.0,23.2,76.0,23.5,23.0,23.0,9.11,0
2024/10/22,4:12:42,23.3,72.0,23.1,75.0,23.5,23.0,23.0,9.12,0
2024/10/22,4:17:42,23.3,71.0,23.1,75.0,23.5,23.0,23.0,9.11,0
2024/10/22,4:22:42,23.3,72.0,23.1,76.0,23.5,23.0,23.0,9.11,0
2024/10/22,4:32:42,23.4,71.0,23.1,75.0,23.5,23.0,23.0,9.11,0
2024/10/22,4:37:42,23.2,72.0,23.1,76.0,23.0,23.0,23.0,9.11,0
2024/10/22,4:42:42,23.3,72.0,23.1,75.0,23.5,23.0,23.0,9.11,0
2024/10/22,4:47:42,23.4,72.0,23.1,75.0,23.0,23.0,23.0,9.11,0
2024/10/22,4:52:42,23.3,72.0,23.1,76.0,23.0,23.0,23.0,9.11,0
2024/10/22,5:2:42,23.2,72.0,23.0,75.0,23.0,23.0,23.0,9.11,0
2024/10/22,5:7:42,23.2,72.0,22.9,75.0,23.0,23.0,23.0,9.13,0
2024/10/22,5:12:42,23.3,72.0,23.0,75.0,23.0,23.0,23.0,9.14,0
2024/10/22,5:17:42,23.3,72.0,22.9,75.0,23.0,23.0,23.0,9.14,0
2024/10/22,5:27:42,23.2,71.0,23.0,75.0,23.0,23.0,23.0,9.12,0
2024/10/22,5:32:42,23.3,72.0,23.0,75.0,23.0,23.0,23.0,9.11,0
2024/10/22,5:37:42,23.2,72.0,23.0,75.0,23.0,23.0,23.0,9.11,0
2024/10/22,5:42:42,23.2,72.0,22.9,75.0,23.0,23.0,23.0,9.11,0
2024/10/22,5:47:42,23.2,72.0,23.0,75.0,23.0,23.0,23.0,9.12,0
2024/10/22,5:57:42,23.2,71.0,23.0,74.0,23.0,23.0,23.0,9.11,0
2024/10/22,6:2:42,23.1,71.0,22.8,74.0,23.0,23.0,23.0,9.08,0
2024/10/22,6:7:42,23.1,70.0,22.9,74.0,23.0,23.0,23.0,9.1,0
2024/10/22,6:12:42,23.1,70.0,22.9,74.0,23.0,23.0,23.0,9.08,0
2024/10/22,6:17:42,23.2,71.0,22.9,73.0,23.0,23.0,23.0,9.07,0
2024/10/22,6:27:42,23.2,71.0,23.0,73.0,23.0,23.0,23.0,9.06,0
2024/10/22,6:32:42,23.2,70.0,23.1,74.0,23.0,23.0,23.0,9.08,0
2024/10/22,6:37:42,23.2,70.0,23.0,74.0,23.0,23.0,23.0,9.09,0
2024/10/22,6:42:42,23.1,70.0,22.9,73.0,23.0,23.0,22.5,9.06,0
2024/10/22,6:47:42,23.1,70.0,23.1,73.0,23.0,23.0,23.0,9.07,0
2024/10/22,6:57:42,23.2,70.0,23.0,74.0,23.0,23.0,22.5,9.07,0
2024/10/22,7:2:42,23.2,70.0,23.2,74.0,23.0,23.0,22.5,9.09,0
2024/10/22,7:7:42,23.2,70.0,23.0,74.0,23.0,23.0,22.5,9.09,0
2024/10/22,7:12:42,23.2,70.0,22.9,74.0,23.0,23.0,22.5,9.07,0
2024/10/22,7:17:42,23.1,70.0,23.0,74.0,23.0,23.0,23.0,9.08,0
2024/10/22,7:27:42,23.2,70.0,23.0,74.0,23.0,23.0,22.5,9.08,0
2024/10/22,7:32:42,23.2,70.0,23.0,75.0,23.0,23.0,22.5,9.1,0
2024/10/22,7:37:42,23.1,70.0,23.1,74.0,23.0,23.0,22.5,9.09,0
2024/10/22,7:42:42,23.1,70.0,22.9,73.0,23.0,23.0,22.5,9.09,0
2024/10/22,7:47:42,23.1,70.0,23.0,74.0,23.0,23.0,22.5,9.1,0
2024/10/22,7:57:42,23.2,70.0,23.0,74.0,23.0,23.0,22.5,9.1,0
2024/10/22,8:2:42,23.1,70.0,23.1,74.0,23.0,23.0,22.5,9.12,0
2024/10/22,8:7:42,23.1,70.0,23.1,74.0,23.0,23.0,22.5,9.11,0
2024/10/22,8:12:42,23.1,70.0,22.9,73.0,23.0,23.0,22.5,9.11,0
2024/10/22,8:17:42,23.2,70.0,23.0,74.0,23.0,23.0,22.5,9.12,0
2024/10/22,8:27:42,23.2,70.0,23.0,75.0,23.0,23.0,22.5,9.12,0
2024/10/22,8:32:42,23.2,70.0,23.0,74.0,23.0,23.0,22.5,9.14,0
2024/10/22,8:37:42,23.3,69.0,23.0,74.0,23.0,23.0,23.0,9.13,0
2024/10/22,8:42:42,23.2,69.0,23.1,73.0,23.0,23.0,22.5,9.13,0
2024/10/22,8:47:42,23.4,70.0,23.1,73.0,23.0,23.0,22.5,9.13,0
2024/10/22,8:57:42,23.3,70.0,23.1,74.0,23.0,23.0,22.5,9.13,0
2024/10/22,9:2:42,23.4,70.0,23.2,74.0,23.0,23.0,22.5,9.15,0
2024/10/22,9:7:42,23.4,69.0,23.2,74.0,23.0,23.0,22.5,9.14,0
2024/10/22,9:12:42,23.4,69.0,23.2,73.0,23.0,23.0,22.5,9.13,0
2024/10/22,9:17:42,23.4,70.0,23.3,73.0,23.0,23.0,23.0,9.14,0
2024/10/22,9:27:42,23.5,70.0,23.3,74.0,23.0,23.0,23.0,9.15,0
2024/10/22,9:32:42,23.5,70.0,23.3,74.0,23.0,23.0,23.0,9.16,0
2024/10/22,9:37:42,23.5,70.0,23.4,74.0,23.0,23.0,23.0,9.13,0
2024/10/22,9:45:42,23.7,71.0,23.4,74.0,23.0,23.0,23.0,9.14,1
2024/10/22,9:51:42,23.8,71.0,23.5,73.0,23.0,23.0,22.5,9.14,1
2024/10/22,9:57:42,23.5,71.0,23.6,74.0,23.0,23.0,23.0,9.15,1
2024/10/22,10:3:42,23.8,71.0,23.7,74.0,23.0,23.0,23.0,9.13,1
2024/10/22,10:9:42,23.8,71.0,23.7,74.0,23.0,23.0,23.0,9.13,1
2024/10/22,10:15:42,23.7,71.0,23.7,73.0,23.0,23.0,23.0,9.13,1
2024/10/22,10:21:42,23.9,71.0,23.6,74.0,23.0,23.0,23.0,9.13,1
2024/10/22,10:27:42,23.9,71.0,23.7,73.0,23.0,23.0,23.0,9.14,1
2024/10/22,10:33:42,24.0,71.0,23.7,73.0,23.0,23.0,23.0,9.12,1
2024/10/22,10:39:42,24.0,71.0,23.7,74.0,23.5,23.0,23.0,9.12,1
2024/10/22,10:45:42,23.9,71.0,23.7,74.0,23.5,23.0,23.0,9.12,1
2024/10/22,10:51:42,24.1,71.0,23.8,74.0,23.5,23.0,23.0,9.12,1
2024/10/22,10:57:42,24.1,71.0,23.7,74.0,23.5,23.0,23.0,9.14,1
2024/10/22,11:3:42,24.1,71.0,23.8,74.0,23.5,23.0,23.0,9.12,1
2024/10/22,11:9:42,24.0,71.0,23.7,74.0,23.5,23.0,23.0,9.12,1
2024/10/22,11:15:42,24.0,70.0,23.8,73.0,23.5,23.0,23.0,9.11,1
2024/10/22,11:21:42,24.0,70.0,23.9,74.0,23.5,23.0,23.0,9.12,1
2024/10/22,11:27:42,24.4,70.0,23.9,74.0,23.5,23.0,23.0,9.13,1
2024/10/22,11:33:42,24.1,70.0,23.7,74.0,23.5,23.0,23.0,9.11,1
2024/10/22,11:39:42,24.1,70.0,23.9,74.0,23.5,23.0,23.0,9.12,1
2024/10/22,11:45:42,24.1,71.0,24.0,73.0,23.5,23.0,23.0,9.12,1
2024/10/22,11:51:42,24.2,71.0,23.7,73.0,23.5,23.0,23.0,9.12,1
